season,episode,speaker,role,utterance_count
1,7,HOLLY,mom,13
1,7,JUDGE,,1
1,7,KELLY,mom,7
1,7,MADDIE,dancer,1
1,7,MELISSA,mom,16
1,7,MELLISA,,3
1,7,NIA,dancer,1
1,7,PHOTOGRAPHER,,2
1,7,SINGER,announcer,14
1,7,VIVI-ANNE,dancer,1
1,7,WOMAN,other,3
1,8,ABBY,instructor,46
1,8,ANNOUNCER,announcer,4
1,8,BRANDON,,2
1,8,BROOKE,dancer,4
1,8,CATHY,coach,8
1,8,CHLOE,dancer,1
1,8,CHRISTI,mom,8
1,8,DANCE MOM,,3
1,8,DIANE,,5
1,8,GIANNA,assistant,4
1,8,GIRL,,1
1,8,GIRLS,,2
1,8,HOLLY,mom,25
1,8,JULIANA,,1
1,8,KELLY,mom,8
1,8,MACKENZIE,dancer,1
1,8,MADDIE,dancer,4
1,8,MELISSA,mom,13
1,8,NIA,dancer,1
1,8,SINGER,announcer,7
1,8,WOMAN,other,3
1,9,ABBY,instructor,43
1,9,ALL,,1
1,9,ANNOUNCER,announcer,7
1,9,BROOKE,dancer,6
1,9,CATHY,coach,5
1,9,CHLOE,dancer,7
1,9,CHRISTI,mom,16
1,9,DANCERS,,2
1,9,GIANNA,assistant,4
1,9,HOLLY,mom,6
1,9,KELLY,mom,13
1,9,LIZ,,6
1,9,MADDIE,dancer,1
1,9,MAN 1,,1
1,9,MAN 2,,2
1,9,MAN 3,,1
1,9,MELISSA,mom,7
1,9,NIA,dancer,1
1,9,PAIGE,dancer,2
1,9,SINGER,announcer,5
1,10,ABBY,instructor,47
1,10,ALL,,1
1,10,ANNOUNCER,announcer,8
1,10,CATHY,coach,20
1,10,CHLOE,dancer,2
1,10,CHRISTI,mom,10
1,10,GIANNA,assistant,3
1,10,HOLLY,mom,11
1,10,KELLY,mom,19
1,10,MADDIE,dancer,5
1,10,MARYEN,,5
1,10,MIKE,,2
1,10,PAIGE,dancer,1
1,10,SINGER,announcer,16
1,10,VIVI-ANNE,dancer,1
1,11,ABBY,instructor,20
1,11,ANNOUNCER,announcer,12
1,11,BROOKE,dancer,1
1,11,CHLOE,dancer,5
1,11,CHOREOGRAPHER,,4
1,11,CHRISTI,mom,7
1,11,CROWD,,4
1,11,GIANNA,assistant,2
1,11,GIRL,,2
1,11,GIRLS,,4
1,11,HOLLY,mom,2
1,11,KELLY,mom,6
1,11,KURT,,2
1,11,MADDIE,dancer,1
1,11,SINGER,announcer,9
1,11,WOMAN,other,2
1,12,ABBY,instructor,23
1,12,ALL,,2
1,12,BEN,,3
1,12,BROOKE,dancer,4
1,12,CHISTI,,1
1,12,CHLOE,dancer,10
1,12,CHRISTI,mom,15
1,12,GIRL,,1
1,12,GIRLS,,2
1,12,HOLLY,mom,5
1,12,HOWARD,,6
1,12,KELLY,mom,4
1,12,LUX,,2
1,12,MACKENZIE,dancer,2
1,12,MADDIE,dancer,9
1,12,MAN,,1
1,12,MELISSA,mom,20
1,12,NIA,dancer,2
1,12,RAY,,6
1,12,SEVEN,,9
1,12,SINGER,announcer,1
1,12,SPEAKER,,1
1,12,WOMAN,other,6
1,13,ABBY,instructor,41
1,13,ANNOUNCER,announcer,1
1,13,BOTOX TECHNICIAN,,2
1,13,CATHY,coach,17
1,13,CHRISTI,mom,9
1,13,CHRSTI,,1
1,13,DAWN,,2
1,13,HOLLY,mom,8
1,13,KELLY,mom,19
1,13,LAQUIFA,,2
1,13,MELISSA,mom,5
1,13,NIA,dancer,1
1,13,OFFICER,,1
1,13,SINGER,announcer,10
1,13,WOMAN,other,1
2,1,ABBY,instructor,36
2,1,ANNOUNCER,announcer,2
2,1,ANNOUNCER 2,,7
2,1,ANNOUNCER 3,,5
2,1,BROOKE,dancer,1
2,1,CHLOE,dancer,4
2,1,CHOREOGRAPHER,,1
2,1,CHRISTI,mom,8
2,1,HOLLY,mom,4
2,1,JILL,mom,5
2,1,KELLY,mom,14
2,1,KENDALL,dancer,3
2,1,LESLEY,mom,3
2,1,MACKENZIE,dancer,1
2,1,MADDIE,dancer,4
2,1,MELISSA,mom,7
2,1,NIA,dancer,4
2,1,PAIGE,dancer,1
2,1,SINGER,announcer,18
2,1,WOMAN,other,1
2,2,ABBY,instructor,40
2,2,ALL,,1
2,2,ANNOUNCER,announcer,7
2,2,BROOKE,dancer,1
2,2,CATHY,coach,19
2,2,CHRISTI,mom,14
2,2,COMPETITION DIRECTOR,,2
2,2,GIRL,,1
2,2,HOLLY,mom,6
2,2,JILL,mom,13
2,2,KELLY,mom,22
2,2,KENDALL,dancer,1
2,2,LEIGH,,5
2,2,MACKENZIE,dancer,1
2,2,MADDIE,dancer,1
2,2,MELISSA,mom,6
2,2,SINGER,announcer,6
2,2,WOMAN,other,9
2,3,ABBY,instructor,42
2,3,ALL,,7
2,3,ANNOUNCER,announcer,11
2,3,BROOKE,dancer,9
2,3,CANDY APPLE DANCER,,1
2,3,CATHY,coach,8
2,3,CHEER COACH,,1
2,3,CHEER MOM,,3
2,3,CHEER SQUAD,,1
2,3,CHLOE,dancer,3
2,3,CHRISTI,mom,14
2,3,COACH,,5
2,3,DANCE MOMS,,1
2,3,GIANNA,assistant,1
2,3,GIRL,,4
2,3,HOLLY,mom,6
2,3,JILL,mom,1
2,3,KELLY,mom,9
2,3,MADDIE,dancer,5
2,3,MELISSA,mom,11
2,3,NIA,dancer,3
2,3,PAIGE,dancer,1
2,3,SINGER,announcer,10
2,3,WOMAN,other,4
2,4,ABBY,instructor,43
2,4,ANNOUNCER,announcer,9
2,4,BROOKE,dancer,1
2,4,CATHY,coach,1
2,4,CHLOE,dancer,3
2,4,CHRISTI,mom,12
2,4,GIRL,,2
2,4,HOLLY,mom,8
2,4,JILL,mom,5
2,4,KELLY,mom,6
2,4,KID,,1
2,4,KIDS,,1
2,4,LESLEY,mom,13
2,4,MACKENZIE,dancer,1
2,4,MADDIE,dancer,3
2,4,MELISSA,mom,4
2,4,NIA,dancer,1
2,4,PAIGE,dancer,3
2,4,PEYTON,,2
2,4,SINGER,announcer,6
2,4,WOMAN,other,4
2,5,ABBY,instructor,40
2,5,ANNOUNCER,announcer,7
2,5,BROOKE,dancer,5
2,5,CHRISTI,mom,9
2,5,DRIVER,,1
2,5,GIRL,,1
2,5,HOLLY,mom,6
2,5,JILL,mom,28
2,5,KELLY,mom,11
2,5,LESLEY,mom,1
2,5,MACKENZIE,dancer,6
2,5,MADDIE,dancer,1
2,5,MAN,,1
2,5,MELISSA,mom,2
2,5,PAIGE,dancer,1
2,5,SINGER,announcer,8
2,5,WOMAN,other,8
2,6,ABBY,instructor,31
2,6,ALL,,1
2,6,ANNOUNCER,announcer,15
2,6,BROOKE,dancer,1
2,6,CATHY,coach,4
2,6,CHRISTI,mom,9
2,6,GIRL,,1
2,6,HOLLY,mom,9
2,6,JILL,mom,12
2,6,KELLY,mom,9
2,6,KENDALL,dancer,4
2,6,LELIE,,1
2,6,LESLEY,mom,2
2,6,MADDIE,dancer,2
2,6,MAN,,3
2,6,MELISSA,mom,10
2,6,MELLISA,,2
2,6,NIA,dancer,2
2,6,PAIGE,dancer,3
2,6,PEYTON,,1
2,6,RICH,,3
2,6,SINGER,announcer,15
2,6,WOMAN,other,8
2,7,ABBY,instructor,47
2,7,ANNOUNCER,announcer,16
2,7,CHLOE,dancer,3
2,7,CHRISTI,mom,14
2,7,HOLLY,mom,4
2,7,JILL,mom,14
2,7,KELLY,mom,8
2,7,MADDIE,dancer,2
2,7,MAN,,1
2,7,MELISSA,mom,5
2,7,NIA,dancer,1
2,7,PAIGE,dancer,2
2,7,SINGER,announcer,11
2,8,ABBY,instructor,39
2,8,CATHY,coach,10
2,8,CHLOE,dancer,2
2,8,CHRISTI,mom,10
2,8,DANCE MOM,,2
2,8,DANCE TEACHER,,2
2,8,HOLLY,mom,9
2,8,JILL,mom,13
2,8,KELLY,mom,8
2,8,KENDALL,dancer,2
2,8,MACKENZIE,dancer,4
2,8,MADDIE,dancer,2
2,8,MARK,,1
2,8,MELISSA,mom,7
2,8,NIA,dancer,2
2,8,PA,,6
2,8,SINGER,announcer,10
2,8,SINGIER,,1
2,8,WOMAN,other,1
2,9,ABBY,instructor,27
2,9,ANNOUNCER,announcer,14
2,9,CATHY,coach,4
2,9,CHLOE,dancer,2
2,9,CHRISTI,mom,3
2,9,DANCE MOM,,4
2,9,DOCTOR,,5
2,9,GIRLS,,2
2,9,HOLLY,mom,9
2,9,JILL,mom,5
2,9,KELLY,mom,4
2,9,KENDALL,dancer,1
2,9,MACKENZIE,dancer,1
2,9,MADDIE,dancer,1
2,9,MELISSA,mom,4
2,9,NIA,dancer,2
2,9,PAIGE,dancer,3
2,9,SINGER,announcer,18
2,9,WOMAN,other,1
2,10,ABBY,instructor,19
2,10,ANNOUNCER,announcer,11
2,10,CATHY,coach,11
2,10,CHRISTI,mom,4
2,10,DOCTOR,,2
2,10,GIRL,,2
2,10,GIRLS,,1
2,10,HOLLY,mom,4
2,10,JILL,mom,2
2,10,KELLY,mom,5
2,10,KENDALL,dancer,1
2,10,MADDIE,dancer,2
2,10,MAN,,1
2,10,MELISSA,mom,11
2,10,MELLISA,,2
